NAME;TblName;Combine;LOB;ULAE;d;a;nbara;ALAE;nbarc;Trend_date;c;risk_parm;Trend_factor; 100 000 ; 250 000 ; 300 000 ; 400 000 ; 500 000 ; 750 000 ; 1 000 000 ; 1 500 000 ; 2 000 000 ; 2 500 000 ; 3 000 000 ; 5 000 000 ; 7 500 000 ; 10 000 000 ;Mean1;Mean2;Mean3;Mean4;Mean5;Mean6;Mean7;Mean8;Mean9;Mean10;Mean11;Mean12;Wt1;Wt2;Wt3;Wt4;Wt5;Wt6;Wt7;Wt8;Wt9;Wt10;Wt11;Wt12;;
PHYSICIANS LIABILITY GRP B;PHY_LIAB_STATE_GROUP_B;FA£SZ;PHY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PHYSICIANS LIABILITY GRP C;PHY_LIAB_STATE_GROUP_C;FA£SZ;PHY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PHYS LIABILITY MULTISTATE;PHY_LIAB_MULTISTATE;FA£SZ;PHY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SURGEONS LIABILITY GRP A;SURG_LIAB_STATE_GROUP_A;FA£SZ;SUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SURGEONS LIABILITY GRP B;SURG_LIAB_STATE_GROUP_B;FA£SZ;SUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SURGEONS LIABILITY GRP C;SURG_LIAB_STATE_GROUP_C;FA£SZ;SUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SURG LIABILITY MULTISTATE;SURG_LIAB_MULTISTATE;FA£SZ;SUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MED MAL COMBINED;MEDMAL_COMB;PRAWDA;MED;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DENTISTS LIABILITY;DENT_LIAB;FA£SZ;MED;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NURSING HOMES LIABILITY;NUR_LIAB;FA£SZ;MED;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALLIED HEALTH CARE LIABILITY;MISC_LIAB;FA£SZ;MED;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FL_PERS_AUTO;FL_PERS_AUTO;FA£SZ;PA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
